,时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
0,2023-05-22 09:35:00,4.88,4.89,4.91,4.87,0.2,0.01,7093,3466147.0,0.82,0.08
1,2023-05-22 09:40:00,4.89,4.86,4.89,4.85,-0.61,-0.03,5736,2793815.0,0.82,0.07
2,2023-05-22 09:45:00,4.86,4.86,4.87,4.85,0.0,0.0,3588,1743337.0,0.41,0.04
3,2023-05-22 09:50:00,4.86,4.85,4.87,4.84,-0.21,-0.01,4520,2190522.0,0.62,0.05
4,2023-05-22 09:55:00,4.86,4.86,4.87,4.85,0.21,0.01,2674,1298869.0,0.41,0.03
5,2023-05-22 10:00:00,4.86,4.86,4.87,4.85,0.0,0.0,2104,1021457.0,0.41,0.02
6,2023-05-22 10:05:00,4.86,4.85,4.86,4.84,-0.21,-0.01,2811,1363014.0,0.41,0.03
7,2023-05-22 10:10:00,4.85,4.84,4.86,4.84,-0.21,-0.01,2108,1021958.0,0.41,0.02
8,2023-05-22 10:15:00,4.84,4.85,4.86,4.84,0.21,0.01,1485,720187.0,0.41,0.02
9,2023-05-22 10:20:00,4.85,4.85,4.86,4.84,0.0,0.0,2638,1279096.0,0.41,0.03
10,2023-05-22 10:25:00,4.85,4.86,4.86,4.85,0.21,0.01,898,436108.0,0.21,0.01
11,2023-05-22 10:30:00,4.86,4.86,4.87,4.85,0.0,0.0,1616,785369.0,0.41,0.02
12,2023-05-22 10:35:00,4.87,4.88,4.88,4.86,0.41,0.02,1132,551376.0,0.41,0.01
13,2023-05-22 10:40:00,4.88,4.87,4.88,4.86,-0.2,-0.01,1140,555248.0,0.41,0.01
14,2023-05-22 10:45:00,4.87,4.86,4.87,4.86,-0.21,-0.01,857,416987.0,0.21,0.01
15,2023-05-22 10:50:00,4.86,4.87,4.87,4.86,0.21,0.01,649,315912.0,0.21,0.01
16,2023-05-22 10:55:00,4.87,4.86,4.87,4.86,-0.21,-0.01,639,311038.0,0.21,0.01
17,2023-05-22 11:00:00,4.87,4.87,4.87,4.86,0.21,0.01,475,231314.0,0.21,0.01
18,2023-05-22 11:05:00,4.86,4.87,4.87,4.86,0.0,0.0,686,333718.0,0.21,0.01
19,2023-05-22 11:10:00,4.87,4.88,4.88,4.86,0.21,0.01,1681,818604.0,0.41,0.02
20,2023-05-22 11:15:00,4.88,4.89,4.89,4.87,0.2,0.01,1995,973727.0,0.41,0.02
21,2023-05-22 11:20:00,4.89,4.89,4.89,4.88,0.0,0.0,769,375933.0,0.2,0.01
22,2023-05-22 11:25:00,4.89,4.88,4.89,4.88,-0.2,-0.01,1378,672999.0,0.2,0.02
23,2023-05-22 11:30:00,4.88,4.89,4.89,4.88,0.2,0.01,974,476095.0,0.2,0.01
24,2023-05-22 13:05:00,4.89,4.91,4.92,4.89,0.41,0.02,5008,2455727.0,0.61,0.06
25,2023-05-22 13:10:00,4.91,4.92,4.92,4.9,0.2,0.01,3275,1608646.0,0.41,0.04
26,2023-05-22 13:15:00,4.91,4.9,4.92,4.9,-0.41,-0.02,1274,625343.0,0.41,0.01
27,2023-05-22 13:20:00,4.9,4.91,4.91,4.9,0.2,0.01,692,339403.0,0.2,0.01
28,2023-05-22 13:25:00,4.91,4.91,4.91,4.9,0.0,0.0,807,395659.0,0.2,0.01
29,2023-05-22 13:30:00,4.91,4.91,4.91,4.9,0.0,0.0,201,98581.0,0.2,0.0
30,2023-05-22 13:35:00,4.9,4.89,4.9,4.89,-0.41,-0.02,1013,495986.0,0.2,0.01
31,2023-05-22 13:40:00,4.89,4.89,4.89,4.88,0.0,0.0,805,393178.0,0.2,0.01
32,2023-05-22 13:45:00,4.89,4.88,4.89,4.88,-0.2,-0.01,602,294295.0,0.2,0.01
33,2023-05-22 13:50:00,4.89,4.89,4.89,4.88,0.2,0.01,440,215095.0,0.2,0.01
34,2023-05-22 13:55:00,4.89,4.89,4.89,4.88,0.0,0.0,524,256068.0,0.2,0.01
35,2023-05-22 14:00:00,4.88,4.88,4.89,4.88,-0.2,-0.01,369,180234.0,0.2,0.0
36,2023-05-22 14:05:00,4.89,4.89,4.89,4.88,0.2,0.01,818,399627.0,0.2,0.01
